channel_id,day,advertiser_id,impressions,verified_visits,verified_visit_conversions,verified_visit_total_order_value,total_spend,name
6,2017-07-09,12274,8870,17,0,0,53.22,"Mobile Web Retargeting"
1,2017-07-09,12283,6648,16,0,0,36.6598,"Desktop Retargeting"
6,2017-07-09,12283,10015,20,0,0,52.7699,"Mobile Web Retargeting"
1,2017-07-09,12289,52430,68,21,1231.64,183.2288,"Desktop Retargeting"
6,2017-07-09,12289,8814,20,0,0,20.9973,"Mobile Web Retargeting"
1,2017-07-09,12299,108674,34,0,0,392.292,"Desktop Retargeting"
1,2017-07-09,12302,2162,16,0,0,9.4,"Desktop Retargeting"
1,2017-07-09,12303,2431,10,0,0,5.1343,"Desktop Retargeting"
1,2017-07-09,12307,33958,59,1,949.99,204.8528,"Desktop Retargeting"
6,2017-07-09,12307,5765,12,0,0,26.1966,"Mobile Web Retargeting"
1,2017-07-09,12318,5205,17,1,67.59,18.275,"Desktop Retargeting"
6,2017-07-09,12318,4635,16,0,0,13.905,"Mobile Web Retargeting"
1,2017-07-09,12321,450511,924,67,4129.05,2252.555,"Desktop Retargeting"
3,2017-07-09,12321,546976,466,14,769.51,2425.214,"Desktop Prospecting"
6,2017-07-09,12321,547472,1508,137,11306.02,2737.36,"Mobile Web Retargeting"
1,2017-07-09,12322,420591,403,24,2060.08,2944.137,"Desktop Retargeting"
3,2017-07-09,12322,289405,224,5,351.88,1881.1325,"Desktop Prospecting"
6,2017-07-09,12322,162292,369,34,3269.08,1054.898,"Mobile Web Retargeting"
6,2017-09-18,10942,10579,20,1,0,58.2904,"Mobile Web Retargeting"
1,2017-07-09,11856,81524,43,2,418.5,367.6757,"Desktop Retargeting"
1,2017-07-09,11858,6528,18,1,632,39.168,"Desktop Retargeting"
6,2017-07-09,11858,3446,9,0,0,12.061,"Mobile Web Retargeting"
1,2017-07-09,11859,18555,43,6,1629,74.22,"Desktop Retargeting"
6,2017-07-09,11859,3549,8,0,0,12.4215,"Mobile Web Retargeting"
1,2017-07-09,11885,379531,196,0,0,1328.3585,"Desktop Retargeting"
3,2017-07-09,11885,222105,54,0,0,888.42,"Desktop Prospecting"
6,2017-07-09,11885,90314,63,0,0,361.256,"Mobile Web Retargeting"
1,2017-07-09,11889,95395,65,3,0,381.58,"Desktop Retargeting"
1,2017-07-09,11890,25181,15,0,0,88.0274,"Desktop Retargeting"
1,2017-07-09,11891,112571,35,0,0,453.4705,"Desktop Retargeting"
3,2017-07-09,11891,94374,57,0,0,330.309,"Desktop Prospecting"
6,2017-07-09,11891,56376,36,1,24.07,244.41,"Mobile Web Retargeting"
1,2017-07-09,11916,149873,117,2,0,749.365,"Desktop Retargeting"
3,2017-07-09,11916,250497,150,1,0,1252.485,"Desktop Prospecting"
6,2017-07-09,11916,6236,5,0,0,31.18,"Mobile Web Retargeting"
1,2017-07-09,11920,6092,23,1,19.98,24.144,"Desktop Retargeting"
1,2017-07-09,11926,51555,18,0,0,335.1075,"Desktop Retargeting"
6,2017-07-09,11926,2650,5,0,0,18.2975,"Mobile Web Retargeting"
1,2017-07-09,11929,11616,30,0,0,40.656,"Desktop Retargeting"
6,2017-07-09,12610,56662,44,1,39.98,202.4655,"Mobile Web Retargeting"
1,2017-07-09,12616,3684,1,0,0,11.052,"Desktop Retargeting"
1,2017-07-09,12618,56024,69,4,457.89,322.1494,"Desktop Retargeting"
3,2017-07-09,12618,146556,124,0,0,586.224,"Desktop Prospecting"
6,2017-07-09,12618,15067,15,1,16.98,90.402,"Mobile Web Retargeting"
1,2017-07-09,12695,13678,10,2,199.92,82.068,"Desktop Retargeting"
1,2017-07-09,12697,176797,370,26,3914.99,883.985,"Desktop Retargeting"
6,2017-07-09,12697,6394,12,2,128.39,31.97,"Mobile Web Retargeting"
1,2017-07-09,12698,91777,155,6,92.94,617.842,"Desktop Retargeting"
3,2017-07-09,12698,51194,57,0,0,295.8325,"Desktop Prospecting"
1,2017-07-09,12699,103827,123,7,237.39,710.1231,"Desktop Retargeting"
3,2017-07-09,12699,75594,44,0,0,527.4137,"Desktop Prospecting"
6,2017-07-09,12712,3093,4,1,0,17.3444,"Mobile Web Retargeting"
1,2017-07-09,12715,13476,91,21,68,112.6751,"Desktop Retargeting"
1,2017-07-09,12717,2316,4,0,0,6.948,"Desktop Retargeting"
1,2017-07-09,12723,20108,12,1,168,61.344,"Desktop Retargeting"
6,2017-07-09,12723,3553,4,0,0,10.659,"Mobile Web Retargeting"
1,2017-07-09,12734,4,0,0,0,0.008,"Desktop Retargeting"
1,2017-07-09,12738,3,0,0,0,0.0039,"Desktop Retargeting"
1,2017-07-09,9051,2925,5,0,0,17.966,"Desktop Retargeting"
1,2017-07-09,9068,157156,339,32,2812.99,1375.1362,"Desktop Retargeting"
6,2017-07-09,9068,5516,17,1,13.29,39.1056,"Mobile Web Retargeting"
1,2017-07-09,9167,36649,18,2,162.25,91.6225,"Desktop Retargeting"
1,2017-07-09,9175,14524,9,2,114.84,36.31,"Desktop Retargeting"
1,2017-07-09,9180,7462,33,0,0,11.256,"Desktop Retargeting"
1,2017-07-09,9194,17419,25,4,214.52,8.7095,"Desktop Retargeting"
1,2017-07-09,9205,60143,18,3,133.9,150.3575,"Desktop Retargeting"
1,2017-07-09,9217,47016,11,1,24.38,150.843,"Desktop Retargeting"
1,2017-07-09,9218,4488,15,0,0,21.231,"Desktop Retargeting"
1,2017-07-09,9266,33598,15,2,180.67,100.794,"Desktop Retargeting"
1,2017-07-09,9300,66362,140,28,4165.63,298.629,"Desktop Retargeting"
1,2017-07-09,9328,2978,41,0,0,6.2131,"Desktop Retargeting"
5,2017-08-13,20711,7969,240,2,1495,236.8822,"Facebook Retargeting"
6,2017-07-09,10841,3446,4,0,0,12.061,"Mobile Web Retargeting"
1,2017-07-09,10873,51222,100,14,2047.28,271.623,"Desktop Retargeting"
1,2017-07-09,10894,47684,32,0,0,165.431,"Desktop Retargeting"
1,2017-07-09,10895,3922,23,0,0,15.3655,"Desktop Retargeting"
1,2017-07-09,10942,138031,242,7,0,803.236,"Desktop Retargeting"
6,2017-07-09,10942,12858,16,0,0,69.9473,"Mobile Web Retargeting"
1,2017-07-09,10951,5935,12,1,49.95,39.2102,"Desktop Retargeting"
1,2017-07-09,10970,905,9,0,0,3.62,"Desktop Retargeting"
6,2017-07-09,10970,1639,1,0,0,10.6535,"Mobile Web Retargeting"
1,2017-07-09,10972,1442,4,0,0,5.768,"Desktop Retargeting"
1,2017-07-09,10976,2,0,0,0,0.0038,"Desktop Retargeting"
6,2017-07-09,10976,2,0,0,0,0.0038,"Mobile Web Retargeting"
1,2017-07-09,11101,57416,179,6,415.55,373.204,"Desktop Retargeting"
6,2017-07-09,11101,4273,12,0,0,27.7745,"Mobile Web Retargeting"
1,2017-07-09,11117,9060,15,16,2793.76,26.946,"Desktop Retargeting"
